rodada,ano,mandante,visitante,vencedor,mandante_Placar,visitante_Placar
1,2003,Guarani,Vasco,Guarani,4,2
1,2003,Athletico-PR,Gremio,Athletico-PR,2,0
1,2003,Flamengo,Coritiba,-,1,1
1,2003,Goias,Paysandu,-,2,2
1,2003,Internacional,Ponte Preta,-,1,1
1,2003,Criciuma,Fluminense,Criciuma,2,0
1,2003,Juventude,Sao Paulo,-,2,2
1,2003,Fortaleza,Bahia,-,0,0
1,2003,Cruzeiro,Sao Caetano,-,2,2
1,2003,Vitoria,Figueirense,-,1,1
1,2003,Santos,Parana,-,2,2
1,2003,Corinthians,Atletico-MG,Atletico-MG,0,3
2,2003,Fluminense,Fortaleza,-,1,1
2,2003,Atletico-MG,Santos,-,0,0
2,2003,Coritiba,Internacional,Internacional,0,1
2,2003,Gremio,Guarani,Gremio,3,1
2,2003,Bahia,Flamengo,Flamengo,1,2
2,2003,Figueirense,Corinthians,-,3,3
2,2003,Paysandu,Vitoria,Vitoria,1,2
2,2003,Ponte Preta,Juventude,Ponte Preta,1,0
2,2003,Parana,Athletico-PR,Parana,3,0
2,2003,Sao Caetano,Criciuma,Sao Caetano,3,2
2,2003,Sao Paulo,Cruzeiro,Cruzeiro,2,4
2,2003,Vasco,Goias,Vasco,6,4
4,2003,Paysandu,Santos,Paysandu,2,1
3,2003,Internacional,Bahia,Internacional,2,0
3,2003,Santos,Figueirense,Santos,2,0
3,2003,Athletico-PR,Atletico-MG,Atletico-MG,1,2
3,2003,Corinthians,Paysandu,Corinthians,6,1
3,2003,Vitoria,Vasco,Vitoria,2,1
3,2003,Criciuma,Sao Paulo,-,1,1
3,2003,Fortaleza,Sao Caetano,-,1,1
3,2003,Juventude,Coritiba,Juventude,2,1
3,2003,Guarani,Parana,Guarani,2,0
3,2003,Goias,Gremio,-,1,1
3,2003,Cruzeiro,Ponte Preta,Cruzeiro,3,0
3,2003,Flamengo,Fluminense,Flamengo,4,1
4,2003,Bahia,Juventude,Bahia,3,1
4,2003,Gremio,Vitoria,Gremio,2,1
4,2003,Atletico-MG,Guarani,Atletico-MG,3,2
4,2003,Figueirense,Athletico-PR,-,1,1
4,2003,Ponte Preta,Criciuma,-,1,1
4,2003,Sao Caetano,Flamengo,-,1,1
4,2003,Vasco,Corinthians,-,2,2
4,2003,Coritiba,Cruzeiro,Cruzeiro,3,4
4,2003,Fluminense,Internacional,Fluminense,3,1
4,2003,Sao Paulo,Fortaleza,Sao Paulo,3,1
4,2003,Parana,Goias,Parana,3,1
12,2003,Flamengo,Cruzeiro,Flamengo,3,0
5,2003,Bahia,Atletico-MG,Atletico-MG,2,4
5,2003,Sao Caetano,Gremio,-,1,1
5,2003,Flamengo,Santos,Santos,0,2
5,2003,Sao Paulo,Vasco,Sao Paulo,3,1
5,2003,Internacional,Corinthians,Internacional,2,1
5,2003,Criciuma,Guarani,Criciuma,1,0
5,2003,Juventude,Vitoria,-,1,1
5,2003,Fortaleza,Athletico-PR,Fortaleza,1,0
5,2003,Ponte Preta,Paysandu,-,4,4
5,2003,Cruzeiro,Goias,Cruzeiro,4,1
5,2003,Fluminense,Parana,-,0,0
5,2003,Coritiba,Figueirense,Coritiba,1,0
6,2003,Atletico-MG,Coritiba,Coritiba,1,2
6,2003,Parana,Bahia,Parana,3,1
6,2003,Vitoria,Internacional,Internacional,0,3
6,2003,Guarani,Cruzeiro,-,1,1
6,2003,Corinthians,Flamengo,-,1,1
6,2003,Goias,Juventude,Goias,7,0
6,2003,Figueirense,Ponte Preta,-,0,0
6,2003,Santos,Fortaleza,Santos,4,0
6,2003,Gremio,Fluminense,Fluminense,0,1
6,2003,Athletico-PR,Criciuma,Athletico-PR,4,2
6,2003,Paysandu,Sao Paulo,Paysandu,5,2
6,2003,Vasco,Sao Caetano,Vasco,1,0
7,2003,Flamengo,Vitoria,Flamengo,2,1
7,2003,Bahia,Gremio,Bahia,2,1
7,2003,Cruzeiro,Athletico-PR,Cruzeiro,5,2
7,2003,Fortaleza,Corinthians,Corinthians,1,2
7,2003,Sao Paulo,Figueirense,Sao Paulo,3,2
7,2003,Sao Caetano,Paysandu,Sao Caetano,2,0
7,2003,Internacional,Goias,Internacional,2,1
7,2003,Ponte Preta,Atletico-MG,Ponte Preta,2,1
7,2003,Juventude,Guarani,-,1,1
7,2003,Coritiba,Parana,Coritiba,2,1
7,2003,Criciuma,Santos,Santos,1,3
7,2003,Fluminense,Vasco,-,0,0
8,2003,Goias,Flamengo,-,1,1
8,2003,Santos,Cruzeiro,Cruzeiro,0,2
8,2003,Parana,Ponte Preta,Parana,3,2
8,2003,Corinthians,Criciuma,Corinthians,3,0
8,2003,Vasco,Bahia,-,1,1
8,2003,Paysandu,Fluminense,-,2,2
8,2003,Atletico-MG,Sao Paulo,-,2,2
8,2003,Vitoria,Fortaleza,Vitoria,2,1
8,2003,Guarani,Internacional,Guarani,3,0
8,2003,Athletico-PR,Juventude,Athletico-PR,2,0
8,2003,Figueirense,Sao Caetano,Figueirense,3,0
8,2003,Gremio,Coritiba,Gremio,1,0
9,2003,Fluminense,Figueirense,Fluminense,3,0
9,2003,Sao Caetano,Atletico-MG,Sao Caetano,2,0
9,2003,Juventude,Santos,-,1,1
9,2003,Bahia,Paysandu,Bahia,2,0
9,2003,Internacional,Athletico-PR,-,1,1
9,2003,Coritiba,Vasco,-,1,1
9,2003,Cruzeiro,Corinthians,-,1,1
9,2003,Fortaleza,Goias,Fortaleza,1,0
9,2003,Ponte Preta,Gremio,Ponte Preta,2,1
9,2003,Criciuma,Vitoria,-,1,1
9,2003,Flamengo,Guarani,-,1,1
9,2003,Sao Paulo,Parana,Sao Paulo,2,0
10,2003,Atletico-MG,Fluminense,Atletico-MG,3,0
10,2003,Parana,Sao Caetano,-,1,1
10,2003,Corinthians,Juventude,Corinthians,3,0
10,2003,Vasco,Ponte Preta,Vasco,1,0
10,2003,Athletico-PR,Flamengo,Athletico-PR,4,1
10,2003,Paysandu,Coritiba,Coritiba,1,3
10,2003,Goias,Criciuma,Criciuma,0,2
10,2003,Gremio,Sao Paulo,Sao Paulo,1,2
10,2003,Guarani,Fortaleza,Guarani,2,1
10,2003,Figueirense,Bahia,Figueirense,1,0
10,2003,Vitoria,Cruzeiro,Vitoria,2,1
10,2003,Santos,Internacional,Santos,2,1
11,2003,Fluminense,Athletico-PR,Fluminense,2,1
11,2003,Cruzeiro,Criciuma,Cruzeiro,2,0
11,2003,Coritiba,Guarani,Coritiba,3,2
11,2003,Ponte Preta,Sao Caetano,-,0,0
11,2003,Internacional,Paysandu,Internacional,2,1
11,2003,Parana,Flamengo,Parana,6,2
11,2003,Bahia,Goias,Bahia,2,1
11,2003,Fortaleza,Juventude,Fortaleza,3,1
11,2003,Figueirense,Gremio,Figueirense,2,1
11,2003,Santos,Sao Paulo,Santos,3,2
11,2003,Corinthians,Vitoria,Corinthians,4,0
11,2003,Vasco,Atletico-MG,-,2,2
12,2003,Vitoria,Fluminense,Vitoria,2,1
12,2003,Guarani,Santos,Santos,1,2
12,2003,Gremio,Fortaleza,Gremio,3,1
12,2003,Atletico-MG,Figueirense,-,1,1
12,2003,Paysandu,Parana,Paysandu,3,0
12,2003,Juventude,Vasco,-,0,0
12,2003,Athletico-PR,Ponte Preta,Athletico-PR,4,2
12,2003,Goias,Coritiba,Coritiba,1,2
